DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY, WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0482,7,"  141,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13542,4343,1367,19000
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0916,3,"  90,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,11300
01/Jul/2024,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,3,"  34,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,8991,4343,0,16501
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0438,9,"  170,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0912,2,"  36,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,16000
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0426,3,"  50,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0940,1,"  18,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,24200
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0416,2,"  27,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,26400
01/Jul/2024,CITILINK,JAKARTA,TANJUNG PINANG,QG-0974,1,"  11,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10323,4343,2233,12350
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0680,4,"  56,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,8103,4343,2200,18000
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0414,6,"  58,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10878,4343,2450,13585
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0968,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,23000
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0914,5,"  100,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,17900
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0952,5,"  47,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,17701
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0438,1,"  11,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,25500
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0480,2,"  28,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,23400
