DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY,WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE,TOTAL_COST,REVENUE,PROFIT,COST_RATIO
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-0426,2,17.0,PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400,17996,261800.0,243804.0,0.06873949579831932
2024-07-01,CITILINK,JAKARTA,PEKANBARU,QG-0936,3,34.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1698,23600,14111,802400.0,788289.0,0.017585992023928215
2024-07-01,CITILINK,JAKARTA,KENDARI,QG-0330,4,55.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,20424,4343,1665,39300,24767,2161500.0,2136733.0,0.01145824658801758
2024-07-01,CITILINK,JAKARTA,BANJARMASIN,QG-0482,7,95.0,PT DINDA SETIA KIRANA,DSK,PTP,13542,4343,1367,14200,17885,1349000.0,1331115.0,0.013257968865826537
2024-07-01,CITILINK,JAKARTA,SAMARINDA,QG-0422,1,12.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,20535,4343,1700,38800,24878,465600.0,440722.0,0.05343213058419244
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,5,78.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,22100,20327,1723800.0,1703473.0,0.011791971226360366
2024-07-01,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,4,69.0,PT DINDA SETIA KIRANA,DSK,PTP,10656,4343,1199,16900,14999,1166100.0,1151101.0,0.012862533230426207
2024-07-01,CITILINK,JAKARTA,BANJARMASIN,QG-0482,7,141.0,PT DINDA SETIA KIRANA,DSK,PTP,13542,4343,1367,19000,17885,2679000.0,2661115.0,0.006675998506905562
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0916,3,90.0,PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,11300,13667,1017000.0,1003333.0,0.013438544739429695
2024-07-01,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,3,34.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,8991,4343,0,16501,13334,561034.0,547700.0,0.023766830530769972
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0438,9,170.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200,20327,2924000.0,2903673.0,0.006951778385772914
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0912,2,36.0,PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,16000,13667,576000.0,562333.0,0.023727430555555557
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-0426,3,50.0,PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400,17996,770000.0,752004.0,0.02337142857142857
2024-07-01,CITILINK,JAKARTA,BATAM,QG-0940,1,18.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,24200,14888,435600.0,420712.0,0.034178145087235996
2024-07-01,CITILINK,JAKARTA,PONTIANAK,QG-0416,2,27.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,26400,15221,712800.0,697579.0,0.02135381593714927
2024-07-01,CITILINK,JAKARTA,TANJUNG PINANG,QG-0974,1,11.0,PT DINDA SETIA KIRANA,DSK,PTP,10323,4343,2233,12350,14666,135850.0,121184.0,0.10795730585204269
2024-07-01,CITILINK,JAKARTA,DENPASAR,QG-0680,4,56.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,8103,4343,2200,18000,12446,1008000.0,995554.0,0.012347222222222223
2024-07-01,CITILINK,JAKARTA,PONTIANAK,QG-0414,6,58.0,PT DINDA SETIA KIRANA,DSK,PTP,10878,4343,2450,13585,15221,787930.0,772709.0,0.019317705887578845
2024-07-01,CITILINK,JAKARTA,BATAM,QG-0968,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,23000,14888,230000.0,215112.0,0.06473043478260869
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0914,5,100.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,17900,13667,1790000.0,1776333.0,0.007635195530726257
2024-07-01,CITILINK,JAKARTA,PADANG,QG-0952,5,47.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,17701,14111,831947.0,817836.0,0.0169614170133434
